,id,name,domain_id,closed,city_name,zipcode,geohash,new_open,weighted_average_rating,number_of_chains,number_of_bookmarks,number_of_reviews,number_of_product_tags,total_number_of_views,number_of_checkins,number_of_menu_groups,number_of_menu_photos,category_name,price_range,avg_price,parking,credit_card_accepted,good_for_groups,good_for_kids,bookable,best_of_wongnai,wifi,number_of_seats,music_venue,hotel_restaurant,pet_friendly,delivery
1119,1799,ครัวน้ำพริก,1,0,Nakhon Si Thammarat,80000,w1rpdyh,0,3.0,,3.0,1,0,214,1,0,1,Quick Meal,2.0,,3.0,0.0,,,,,,,,,,
1188,1930,สมบูรณ์โอชา,1,0,Nakhon Si Thammarat,,w1rpfu2,0,3.0,,1.0,2,0,292,1,0,0,Breakfast/Brunch,1.0,,1.0,0.0,,,,,,,,,,
1239,2036,Coffee With You By Naranan,1,0,Nakhon Si Thammarat,,w1x13b4,1,0.0,,1.0,0,0,612,0,0,0,Café/Coffee Shop,1.0,,3.0,0.0,,,,,1.0,2.0,,,,
1282,2111,ข้าวแกงเมืองคอน,1,0,Nakhon Si Thammarat,80110,w1rn8kv,0,0.0,,,0,0,154,0,0,0,Thai,,,,,,,,,,,,,,
1302,2138,Sab & Suay Coffee,1,0,Nakhon Si Thammarat,,w1qy7vb,0,5.0,,2.0,0,0,630,2,0,0,Café/Coffee Shop,1.0,,3.0,0.0,,,,,1.0,2.0,,,,
1349,2224,ครัวหลาล่าง,1,0,Nakhon Si Thammarat,,w1rpfdr,0,3.0,,1.0,2,0,552,1,0,0,Southern Food,1.0,,3.0,0.0,,,,,,,,,,
1550,2615,KAZUHIRO SUSHI คา ซึ ฮิ โระ ซูชิ,1,1,Nakhon Si Thammarat,,w1rpfv5,0,4.0,,40.0,3,0,4665,4,0,16,Japanese,2.0,,1.0,1.0,,,,,,,,,,
1727,2926,อุบลรสเด็ด 401,1,0,Nakhon Si Thammarat,80120,w1x514s,0,0.0,,,0,0,298,0,0,0,North East,,,,,,,,,,,,,,
2033,3584,ภัทรลดา นวดแผนไทย&สปา,2,0,Nakhon Si Thammarat,,w1rpfyj,1,5.0,,1.0,1,0,490,0,0,0,Spa & Massage,,,3.0,1.0,,,,,,12.0,,,,
2156,3812,Dariy Queen,1,0,Nakhon Si Thammarat,,w1x048z,0,0.0,,,0,0,77,1,0,0,Ice Cream,1.0,,3.0,,,,,,,,,,,
2181,3861,ร้านสตางค์ ปากพนัง,1,0,Nakhon Si Thammarat,80140,w1rr80g,0,4.166666667,,8.0,2,3,3126,0,0,0,Thai,2.0,,,0.0,,,,,,,,,,
2211,3899,ริมเขื่อนรีสอร์ท,1,0,Nakhon Si Thammarat,80140,w1rppzx,0,0.0,,,0,0,312,0,0,0,Thai,,,,,,,,,,,,1.0,,
2218,3913,ร้านข้าวต้มเจ้นิด,1,0,Nakhon Si Thammarat,80210,w1xh2mk,0,5.0,,1.0,2,1,437,2,0,0,Quick Meal,1.0,,1.0,,,,,,,,,,,
2296,4037,ครัวป้าเสาร์สเต็กเฮ้าส์,1,0,Nakhon Si Thammarat,,w1qys8j,0,3.0,,6.0,1,0,937,0,0,9,Steak House/Barbeque,2.0,,,0.0,,,,,,,,,,
2412,4269,Take Off Coffee,1,0,Nakhon Si Thammarat,80280,w1x0d4w,0,0.0,,2.0,0,0,737,1,0,1,Café/Coffee Shop,1.0,,3.0,,,,,,,,,,,
2483,4406,ข้าวเหนียวมะม่วง ปุ๊ เจ้าเก่า,1,0,Nakhon Si Thammarat,84000,w1rpftp,0,3.8387096769999998,,3.0,3,1,632,1,0,0,Street Food/Food Stands,1.0,,1.0,0.0,1.0,1.0,,,,,,,,
2601,4646,Cafe Amazon,1,0,Nakhon Si Thammarat,80000,w1rncpt,0,3.0,576.0,1.0,1,13,582,1,0,1,Café/Coffee Shop,1.0,,,,,,,,,,,,,
2798,4975,ปังหวาน,1,0,Nakhon Si Thammarat,80110,w1qykww,0,3.785714286,,1.0,3,0,1212,0,0,8,Quick Meal,1.0,,3.0,0.0,1.0,1.0,,,1.0,2.0,,,,
2842,5077,โรตีป้าหนอม,1,0,Nakhon Si Thammarat,,w1x04f6,0,3.155963303,,4.0,5,2,1720,7,0,6,Café/Coffee Shop,1.0,,,,,,,,0.0,,,,,
3087,5650,ร้านตำระเบิด,1,0,Nakhon Si Thammarat,80140,w1rr83f,0,0.0,,1.0,0,0,276,0,0,0,North East,,,,,,,,,,,,,,
3121,5770,ลลลล ลำลำลับแล ,1,0,Nakhon Si Thammarat,80000,w1rpfzg,0,3.49137931,,9.0,6,2,2088,4,0,4,Noodles,2.0,,3.0,1.0,1.0,1.0,,,,3.0,,,,
3149,5861,ขนมบ้านโกไข่,1,0,Nakhon Si Thammarat,,w1rp3vg,0,3.333333333,,3.0,3,0,836,3,0,3,Bakery/Cake,1.0,,3.0,1.0,,,,,,0.0,,,,
3485,6698,สวนอาหารดอกจูด,1,0,Nakhon Si Thammarat,80180,w1rj77q,0,0.0,,,0,0,282,0,0,0,Thai,,,,,,,,,,,,,,
3499,6714,ข้าวแกงรสเด็ดติดแอร์,1,0,Nakhon Si Thammarat,80000,w1x04tz,0,0.0,,,0,0,90,1,0,0,Thai,,,3.0,,,,,,,,,,,
3714,7057,น้องเบส,1,0,Nakhon Si Thammarat,80360,w1qtxv4,0,0.0,,,0,0,189,0,0,0,Thai,,,,,,,,,,,,,,
3723,7068,น้องไวอีสานไก่ย่างร้อยเอ็ด,1,0,Nakhon Si Thammarat,,w1x04f2,1,3.0,,,1,0,358,1,0,1,North East,1.0,,1.0,0.0,,,,,,,,,,
3771,7169,ร้านคำหวาน,1,0,Nakhon Si Thammarat,80110,w1qyknx,0,0.0,,1.0,0,1,249,0,0,0,Quick Meal,1.0,,,0.0,,,,,,,,,,
3789,7221,ปาร์คนายปอง,1,0,Nakhon Si Thammarat,80000,w1rpfmk,0,3.0,,,1,0,426,0,0,1,Thai,,,,,,,,,,,,,,
4153,7835,Tee Coffee,1,0,Nakhon Si Thammarat,80160,w1x13cj,0,3.75,,29.0,14,0,6329,9,0,5,Bakery/Cake,2.0,,,,,,,,,,,,,
4222,7932,คงวิไลรีสอร์ท,1,0,Nakhon Si Thammarat,80140,w1rprn6,0,0.0,,,0,0,390,0,0,0,Other,,,,,,,,,,,,1.0,,
4365,8153,โรงแรมขนอมมาร็อค,3,0,Nakhon Si Thammarat,80210,w1x5btp,0,0.0,,,0,0,71,0,0,0,Hotel/Resort,,,3.0,,,,,,1.0,,,,0.0,
4721,8807,โรตีบังชา,1,0,Nakhon Si Thammarat,80210,w1xh2mk,0,3.4444444439999997,,12.0,5,1,3707,2,0,0,Muslim,1.0,,,,,,,,,2.0,,,,
4958,9239,ริมทางซีฟู๊ด,1,0,Nakhon Si Thammarat,,w1x04bz,0,4.0,,16.0,6,4,2073,7,0,0,Seafood,2.0,,1.0,0.0,,,,,,,,,,
5559,10322,ข้าวสามสี,1,0,Nakhon Si Thammarat,80000,w1rpfs8,0,0.0,,,0,0,165,1,0,0,Thai,1.0,,3.0,,,,,,,,,,,
5573,10338,Je Coffee,1,0,Nakhon Si Thammarat,,w1x00ky,0,3.0,,,1,0,694,0,0,0,Café/Coffee Shop,1.0,,1.0,,,,,,1.0,,,,,
5789,10742,ดาวรุ่งติ่มซำ,1,0,Nakhon Si Thammarat,,w1rpfzh,0,3.0,,,1,0,397,0,0,0,Dim Sum,2.0,,1.0,,,,,,,,,,,
6002,11100,Cafe Index Livingmall,1,0,Nakhon Si Thammarat,,w1x04sr,1,0.0,,,0,0,157,1,0,0,Café/Coffee Shop,1.0,,3.0,,,,,,,,,,,
6080,11211,ร้านครูแหลม,1,0,Nakhon Si Thammarat,80140,w1rprgq,0,0.0,,,0,0,181,0,0,0,Other,,,,,,,,,,,,,,
6116,11266,Latte art coffee&steak,1,0,Nakhon Si Thammarat,80320,w1wbrwf,0,4.25,,12.0,4,5,2246,4,0,3,Steak House/Barbeque,1.0,,1.0,0.0,1.0,1.0,1.0,,1.0,2.0,,,,
6225,11451,ส้มตำเจ๊หัว ,1,0,Nakhon Si Thammarat,,w1qvgzg,0,4.0,,,1,0,234,0,0,0,North East,1.0,,1.0,,,,,,,,,,,
6262,11508,โรงแรมทิพย์บุรี,3,0,Nakhon Si Thammarat,80120,w1x51z9,0,0.0,,,0,0,42,0,0,0,Hotel/Resort,,,3.0,,,,,,1.0,,,,0.0,
6497,11896,โรตีป้าหนอม ,1,0,Nakhon Si Thammarat,,w1qy7yn,0,3.0,,8.0,0,0,949,1,0,0,Dessert,1.0,,3.0,0.0,0.0,,0.0,,2.0,2.0,0.0,,,
6591,12039,ก๋วยเตี๋ยวหมู เจ๊ปลา,1,0,Nakhon Si Thammarat,,w1rpfrh,0,4.0,,,1,0,185,1,0,0,Noodles,1.0,,3.0,0.0,,,,,,,,,,
6720,12258,ครัวสิชล,1,0,Nakhon Si Thammarat,80120,w1x51p5,0,4.223021583,,13.0,17,1,4589,7,0,1,Thai,2.0,,1.0,0.0,,,,,,,,,,
6721,12259,ขนมหวานหน้าตลาดทุ่งสง,1,0,Nakhon Si Thammarat,,w1qykpr,0,4.0,,,1,0,398,0,0,0,Dessert,1.0,,,,,,,,,,,,,
6764,12323,ร้านสวนนายแดง,1,0,Nakhon Si Thammarat,80000,w1x04g3,0,3.327868852,,,3,1,619,2,0,1,Southern Food,1.0,,1.0,0.0,1.0,1.0,0.0,,0.0,3.0,,,,
6936,12629,กรแฟโบราณ,1,0,Nakhon Si Thammarat,80000,w1rpfyv,0,0.0,,,0,0,221,0,0,0,Ice Cream,,,,,,,,,,,,,,
6966,12677,ลุงไข่ป้าออง ของฝากจากลุ่มน้ำปากพนัง,1,0,Nakhon Si Thammarat,80140,w1rr2pd,0,3.0,,1.0,1,0,1773,0,0,1,Other,2.0,,,,,,,,,,,,,
6993,12718,Chongkhao Melon & Sweets Cake,1,0,Nakhon Si Thammarat,,w1qyqfk,0,3.0,,2.0,1,0,990,1,0,2,Café/Coffee Shop,2.0,,3.0,,,,,,,,,,,
7173,12981,หลงปัง,1,0,Nakhon Si Thammarat,80140,w1rr2pg,0,0.0,,1.0,0,0,830,1,0,2,Cafe,1.0,,1.0,0.0,1.0,1.0,0.0,,1.0,,,,,
7196,13017,ไก่ทอดสมุนไพร,1,0,Nakhon Si Thammarat,80000,w1rpfp8,0,0.0,,1.0,0,1,416,0,0,0,Muslim,2.0,,,,,,,,,,,,,
7501,13541,Bar•B•Q Plaza,1,0,Nakhon Si Thammarat,80000,w1rpdvg,0,3.628865979,,3.0,5,0,1883,5,0,5,Barbeque/Grill,3.0,,3.0,1.0,,,,,,,,,,
7586,13680,โคคา,1,0,Nakhon Si Thammarat,,w1rpfub,0,0.0,,,0,0,72,1,0,0,Thai,1.0,,,,,,,,,,,,,
7630,13745,โกปี๊ ทุ่งสง,1,0,Nakhon Si Thammarat,80110,w1qykn5,0,3.02970297,,12.0,6,0,6430,4,0,1,Café/Coffee Shop,1.0,,,,,,,,,,,,,
7679,13831,Horizons Restaurant,1,0,Nakhon Si Thammarat,,w1x43b7,0,4.0,,1.0,1,0,341,0,0,0,Bars,3.0,,,,1.0,,,,,,,,,
7688,13848,ครัวครูทิพย์,1,0,Nakhon Si Thammarat,80120,w1x4362,0,0.0,,,0,0,160,0,0,0,Thai,,,,,,,,,,,,,,
7719,13896,เตี๋ยวตุ๋น หม้อไฟ INDY,1,0,Nakhon Si Thammarat,,w1rpdve,0,3.645833333,,3.0,3,0,679,3,0,2,Noodles,1.0,,1.0,0.0,,,,,,,,,,
7988,14335,หญิงเบเกอรี่,1,0,Nakhon Si Thammarat,80160,w1wcw86,0,0.0,,1.0,0,0,1305,0,0,2,Bakery/Cake,,,,,,,,,,,,,,
8054,14451,โตเจริญกรุง สุดยอดก๋วยเตี๋ยวเนื้อ,1,0,Nakhon Si Thammarat,,w1xh2et,0,4.0,,1.0,1,0,160,1,0,0,Noodles,1.0,,3.0,0.0,,,,,,,,,,
8266,14791,ครัวน้องกฤษณ์,1,0,Nakhon Si Thammarat,,w1x11xr,0,3.0,,,2,1,132,0,0,2,Quick Meal,1.0,,,,,,,,,,,,,
8438,15049,ปั้นแป้งสิวลี,1,0,Nakhon Si Thammarat,80000,w1x04bf,0,3.1,,9.0,4,0,2813,1,0,0,Bakery/Cake,2.0,,,1.0,,,,,,,,,,
8739,15513,จันทร์แจ้ง ซีฟู๊ด,1,0,Nakhon Si Thammarat,80140,w1rmfx5,0,4.0,,3.0,1,1,2588,2,0,0,Seafood,2.0,,3.0,0.0,1.0,1.0,1.0,,,,,,,
8744,15519,ร้านข้าวแกงพี่ราตรี,1,0,Nakhon Si Thammarat,80210,w1xh27s,0,5.0,,3.0,1,0,576,1,0,0,Southern Food,1.0,,,,,,,,,,,,,
8772,15553,ก๋วยเตี๋ยวต้มยำพิษณุโลก,1,0,Nakhon Si Thammarat,,w1wbf50,0,3.0,,,0,0,139,0,0,0,Noodles,1.0,,2.0,,,,,,,,,,,
8842,15652,ตะวันแดงคาราโอเกะ,1,0,Nakhon Si Thammarat,80110,w1qvex1,0,0.0,,,0,0,764,0,0,0,Karaoke,,,,,,,,,,,,,,
8862,15686,กาแฟสดตั้งใจ ห้วยปริก,1,0,Nakhon Si Thammarat,,w1w8z63,0,0.0,,,0,0,393,1,0,0,Café/Coffee Shop,1.0,,3.0,0.0,1.0,1.0,1.0,,1.0,,,,,
8888,15728,กุ๊กธาดา,1,0,Nakhon Si Thammarat,80000,w1x04b7,0,4.705882353,,4.0,2,2,993,2,0,0,Seafood,2.0,,1.0,0.0,1.0,1.0,1.0,,0.0,3.0,,,,
8970,15849,วัดเจดีย์หลวง,4,0,Nakhon Si Thammarat,80210,w1wur26,0,0.0,,,0,0,89,0,0,0,Temple,,,,,,,,,,,,,,
9149,16106,Fuku Matcha ,1,0,Nakhon Si Thammarat,80000,w1rpdvg,1,4.311764706,,8.0,8,1,1874,6,0,3,Juice/Coffee/Tea/Soft drinks,1.0,,3.0,0.0,,,,,,,,,,
9181,16150,วอลแตร์ บ้านหิน,1,0,Nakhon Si Thammarat,,w1x4361,1,0.0,,1.0,0,0,140,0,0,0,Café/Coffee Shop,1.0,,,,,,,,,,,,,
9271,16285,ร้านริมคลอง,1,0,Nakhon Si Thammarat,,w1rpfy2,0,3.722222222,,5.0,3,2,1017,3,0,0,Dim Sum,1.0,,1.0,0.0,,,,,0.0,,,,,
9299,16327,เพลินจิต,1,0,Nakhon Si Thammarat,,w1rpen6,0,4.0,,3.0,3,2,851,1,0,4,Thai,2.0,,3.0,0.0,,,,,1.0,2.0,,,,
9343,16398,ร้านอาหาร ป้าล้วน,1,0,Nakhon Si Thammarat,80000,w1x06mr,0,4.027027027,,7.0,4,0,2077,2,0,0,Thai,2.0,,1.0,0.0,1.0,0.0,0.0,,,,,,,
9393,16470,Cafe Amazon,1,0,Nakhon Si Thammarat,80000,w1x13fd,0,0.0,576.0,,0,13,196,1,0,0,Café/Coffee Shop,,,,,,,,,,,,,,
9474,16605,บ้านขนมจีน 7 สี,1,0,Nakhon Si Thammarat,,w1rpg1b,0,4.0,,3.0,1,1,1588,2,0,0,Southern Food,1.0,,3.0,0.0,,,,,,,,,,
9636,16861,ครัวญาดา,1,0,Nakhon Si Thammarat,80000,w1x05d5,0,0.0,,,0,0,111,0,0,0,Thai,,,,,,,,,,,,,,
9665,16907,ข้าวมันไก่ในซอย,1,0,Nakhon Si Thammarat,80250,w1qz9n5,0,0.0,,,0,0,108,0,0,0,Thai,,,,,,,,,,,,,,
9678,16926,ร้านก๋วยเตี๋ยวเนื้อเปื่อยป้าสิ้ม,1,0,Nakhon Si Thammarat,80170,w1rm50n,0,4.8888888889999995,,1.0,2,0,534,0,0,0,Noodles,,,,,,,,,,,,,,
9707,16972,หมูน๊อต-หมูปิ้งหน้าตลาดหัวอิฐ,1,0,Nakhon Si Thammarat,,w1rpfrp,0,0.0,,1.0,0,0,445,0,0,0,Street Food/Food Stands,1.0,,,0.0,,,,,,,,,,
9742,17023,แดรี่ฮัท,1,0,Nakhon Si Thammarat,80000,w1rpfyv,0,3.647435897,,25.0,19,1,5669,17,0,5,Thai,2.0,,3.0,1.0,,,,,,,,,,
9859,17205,ภัตตาคารบินตัง,1,0,Nakhon Si Thammarat,,w1x14nx,0,3.551724138,,3.0,2,0,1784,2,0,2,Muslim,2.0,,3.0,,,,,,,,,,,
9932,17326,ลูกชิ้นหมูโฮเด้ง,1,0,Nakhon Si Thammarat,80000,w1rpfzs,0,4.0,,1.0,1,0,229,1,0,0,Noodles,1.0,,1.0,,,,,,,,,,,
10011,17455,ข้าวมันแกง ซ.ราชเดช,1,0,Nakhon Si Thammarat,,w1rpfxp,0,4.012987013,,8.0,5,0,2354,6,0,0,Muslim,1.0,,1.0,0.0,,,,,,,,,,
10149,17644,ก๋วยเตี๋ยวเรือเจ๊ตุ้ม,1,0,Nakhon Si Thammarat,80000,w1rp38y,0,0.0,,1.0,0,0,233,0,0,0,Noodles,,,,,,,,,,,,,,
10201,17722,ร้านข้าวหน้าเป็ด หลังศาลากลาง,1,0,Nakhon Si Thammarat,,w1rpfsw,0,3.6,,4.0,2,3,335,3,0,0,Quick Meal,1.0,,,,,,,,,,,,,
10443,18081,ติดหม้อชาบู,1,0,Nakhon Si Thammarat,80110,w1qyknj,0,3.0,,6.0,1,0,2053,2,0,1,Sukiyaki/Shabu,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,0.0,0.0,0.0,1.0
10652,18435,ถังน้ำมัน,1,0,Nakhon Si Thammarat,80000,w1rpfvh,0,0.0,,3.0,0,0,665,1,0,0,Bars,2.0,,1.0,0.0,,,,,1.0,,,,,
10728,18551,Glucose,1,0,Nakhon Si Thammarat,,w1x11zb,0,3.5961538460000004,,7.0,3,1,1270,2,0,0,Ice Cream,1.0,,1.0,0.0,,,,,,,,,,
10751,18579,เรือนตะวันนาแว,1,0,Nakhon Si Thammarat,,w1wb0w3,0,5.0,,1.0,1,0,711,2,0,1,North East,2.0,,3.0,0.0,1.0,1.0,1.0,,,5.0,,,,
10776,18627,โรงเตี๊ยม เมืองนคร,1,0,Nakhon Si Thammarat,,w1x04f2,0,3.7087378639999997,,15.0,5,1,3369,5,0,5,Dim Sum,1.0,,3.0,1.0,1.0,1.0,1.0,,2.0,3.0,,,,
11247,19342,ชาพะยอม,1,0,Nakhon Si Thammarat,,w1x13b9,0,3.0,86.0,1.0,1,4,408,1,0,0,Juice/Coffee/Tea/Soft drinks,1.0,,1.0,,,,,,,,,,,
11273,19371,บ่อล้อรีสอร์ท,1,0,Nakhon Si Thammarat,80130,w1rnjw6,0,0.0,,,0,0,659,0,0,0,Thai,,,,,,,,,,,,1.0,,
11321,19440,Homestay P'yo,1,0,Nakhon Si Thammarat,80170,w1rm4ch,0,5.0,,2.0,1,1,1285,2,0,0,Seafood,1.0,,,,,,,,,,,,,
11364,19504,Q Crepe ,1,0,Nakhon Si Thammarat,80000,w1rpfbz,0,3.0,,1.0,1,0,335,0,0,0,Bakery/Cake,1.0,,3.0,,,,,,,,,,,
11443,19629,ขนมจีนแม่วร,1,0,Nakhon Si Thammarat,80000,w1rpfwx,0,3.571428571,,2.0,3,1,620,3,0,0,Thai,1.0,,1.0,0.0,,,,,,,,,,
11452,19646,เจ๊ณีย์ Isan ZanB,1,0,Nakhon Si Thammarat,80160,w1x1616,1,4.0,,1.0,1,1,393,1,0,0,North East,2.0,,1.0,,,,,,,3.0,,,,
11612,19894,บรรเจิด,1,0,Nakhon Si Thammarat,80160,w1x11wt,0,4.124293785,,19.0,15,4,5054,4,0,8,Fusion Food,2.0,,1.0,1.0,,,1.0,,1.0,,,,,
11674,19985,วังคงคา,1,0,Nakhon Si Thammarat,80110,w1qy7rf,0,0.0,,,0,0,236,0,0,0,Other,,,,,,,,,,,,,,
11728,20078,สวนอาหารเจ.บี.,1,0,Nakhon Si Thammarat,80000,w1rpfze,0,0.0,,,0,0,153,0,0,0,Thai,,,,,,,,,,,,,,
11848,20259,Kfc  ,1,0,Nakhon Si Thammarat,,w1qz9q8,0,2.0,629.0,2.0,1,5,1129,0,0,1,Fastfood,2.0,,,,,,,,,,,,,
12317,20995,จี๊ด เวอร์,1,0,Nakhon Si Thammarat,,w1x13cr,0,3.0,,3.0,2,0,758,1,0,0,Sukiyaki/Shabu,1.0,,1.0,,,,,,,,,,,
12353,21049,OH! Cheese ชีสกระทะร้อนเจ้าแรกนครศรีธรรมราช,1,1,Nakhon Si Thammarat,,w1x04ek,1,3.49,,9.0,7,0,2086,2,0,2,Italian,2.0,,3.0,0.0,,,,,1.0,,,,,
12381,21094,Tracy Bar,1,0,Nakhon Si Thammarat,80000,w1rpf9y,0,0.0,,,0,0,715,0,0,0,Japanese,,,,,,,,,,,,,,
12742,21638,ร้านโกเบี้ยว,1,0,Nakhon Si Thammarat,80000,w1x04e5,0,0.0,,,0,0,110,0,0,0,Chinese,,,,,,,,,,,,,,
12791,21708,ป้าเขียวไก่ทอดรสเด็ด,1,0,Nakhon Si Thammarat,,w1qykqb,0,4.0,,5.0,1,1,702,1,0,0,Street Food/Food Stands,1.0,,,,,,,,,,,,,
12896,21848,ข้าวเหนียวมะม่วงป้าแมว,1,0,Nakhon Si Thammarat,,w1x048m,0,4.0,,1.0,1,0,264,1,0,0,Street Food/Food Stands,1.0,,1.0,0.0,,,,,,,,,,
13068,22104,ขนมจีนเส้นสด ยายลาย,1,0,Nakhon Si Thammarat,80210,w1xh27v,0,3.375,,7.0,3,2,1368,0,0,0,Southern Food,1.0,,3.0,0.0,,,,,,,,,,
13164,22260,โกจันทร์,1,0,Nakhon Si Thammarat,80180,w1rnju3,0,0.0,,,0,0,371,0,0,0,Thai,,,,,,,,,,,,,,
13241,22373,ครัวบ้านก๋ง,1,0,Nakhon Si Thammarat,80120,w1x4c32,0,3.125,,,2,0,1012,1,0,0,Thai,3.0,,,,,,,,,,,,,
13346,22538,DR. LE' Coffee,1,0,Nakhon Si Thammarat,80000,w1rpfyp,0,3.411764706,,5.0,2,1,939,2,0,0,Café/Coffee Shop,1.0,,1.0,,,,,,,,,,,
13439,22672,ป้าใจ อาหารพื้นเมือง,1,0,Nakhon Si Thammarat,,w1x04sz,0,3.0,,1.0,1,0,213,1,0,1,Southern Food,1.0,,1.0,,,,,,,,,,,
13458,22702,ขนมไทย,1,0,Nakhon Si Thammarat,,w1x13c4,0,4.0,,,1,0,213,1,0,0,Street Food/Food Stands,1.0,,1.0,,,,,,0.0,0.0,,,,
13472,22729,ตลาด 100 ปีเมืองปากพนัง,4,0,Nakhon Si Thammarat,80140,w1rr2pe,0,0.0,,3.0,0,0,284,0,0,0,Shopping,,,,,,,,,,,,,,
13559,22854,หวานปาก,1,0,Nakhon Si Thammarat,,w1x11xr,0,3.411764706,,1.0,2,1,428,1,0,1,Quick Meal,1.0,,1.0,0.0,,,,,,,,,,
13594,22910,Captain Seafoods,1,0,Nakhon Si Thammarat,80000,w1rpgpr,0,5.0,,2.0,1,1,1984,0,0,0,Seafood,2.0,,3.0,1.0,1.0,1.0,1.0,,1.0,5.0,,,,
13598,22918,หมูย่างเมืองตรัง by เจ๊วาสนา,1,0,Nakhon Si Thammarat,80000,w1x04b9,0,0.0,,,0,0,331,0,0,0,Fastfood,1.0,,3.0,,1.0,1.0,,,,,,,,1.0
13716,23088,สลัดไข่มุก สาขานครศรีธรรมราช,1,0,Nakhon Si Thammarat,,w1rpfu2,0,0.0,,1.0,0,0,621,0,0,0,Healthy Food,1.0,,1.0,0.0,1.0,1.0,1.0,,,,,,,
13738,23117,โกฮก ทุ่งสง,1,0,Nakhon Si Thammarat,,w1qykqc,0,0.0,,,0,0,206,0,0,0,Breakfast/Brunch,1.0,,,,,,,,,3.0,,,,
13775,23173,อิ่มอร่อย เบเกอรี่,1,0,Nakhon Si Thammarat,80170,w1rmdz0,0,0.0,,4.0,0,0,1158,0,0,10,Pizza,2.0,,3.0,0.0,,,,,1.0,,,,,
13853,23296,ร้านลาบนครขอนแก่น,1,0,Nakhon Si Thammarat,80110,w1qxpzz,0,0.0,,,0,0,254,0,0,0,North East,,,,,,,,,,,,,,
14072,23633,เคลิ้ม ชาบู,1,1,Nakhon Si Thammarat,80160,w1x13c3,0,3.0,,1.0,1,0,1272,1,0,2,Sukiyaki/Shabu,2.0,,3.0,,,,,,0.0,3.0,,,,
14217,23844,ทุ่งสงข้าวต้ม,1,0,Nakhon Si Thammarat,,w1qykq0,0,3.3636363639999995,,2.0,2,0,832,2,0,0,Late Night Rice Porridge,1.0,,1.0,0.0,,,,,,3.0,,,,
14514,24264,กะหนุ่ย,1,0,Nakhon Si Thammarat,,w1rpcxm,0,2.0,,,1,0,129,1,0,0,Muslim,1.0,,1.0,0.0,,,,,0.0,2.0,,,,
14586,24366,เจ๊เอง,1,0,Nakhon Si Thammarat,,w1x12e5,0,4.53125,,5.0,4,2,1458,1,0,0,Quick Meal,1.0,,1.0,0.0,,,,,,,,,,
